"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","251768","71909","28.56","69"
"ps1","36000","254","0.71","656"
"md","13482","87","0.65","350"
"bicep","10614","717","6.76","393"
"svg","9429","0","0","2"
"sh","5527","159","2.88","122"
"yml","820","0","0","50"
"yaml","716","42","5.87","67"
"old","656","0","0","4"
"py","655","396","60.46","38"
"bicepparam","609","0","0","13"
"gitignore","297","1","0.34","12"
"other","160","0","0","16"
"sample","157","0","0","13"
"txt","33","12","36.36","27"
"env","21","0","0","6"
"md}","18","0","0","1"
"github/codeowners","11","0","0","7"
"gitmodules","9","0","0","3"
"bicep}","1","0","0","7"
