"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","38774","34810","89.78","349"
"md","14883","8694","58.42","288"
"ps1","13178","13172","99.95","40"
"json","8004","3417","42.69","53"
"kql","4579","4557","99.52","100"
"ipynb","4164","2716","65.23","16"
"yml","1933","1152","59.6","79"
"gitignore","1469","45","3.06","8"
"sh","545","495","90.83","13"
"bicep","423","420","99.29","7"
"dockerignore","282","282","100","3"
"ps1}","231","3","1.3","6"
"platform","154","132","85.71","25"
"txt","150","90","60","29"
"yaml","124","96","77.42","18"
"other","105","63","60","5"
"flake8","46","46","100","2"
"github/codeowners","24","6","25","4"
"devcontainer/dockerfile","8","0","0","2"
"py}","3","0","0","3"
"png","3","3","100","107"
