"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1555392","1555392","100","30"
"py","83235","72196","86.74","796"
"md","31593","17799","56.34","683"
"ps1","27608","27596","99.96","85"
"json","18150","6834","37.65","102"
"ipynb","10428","6790","65.11","46"
"kql","9169","9114","99.4","202"
"yml","4081","2319","56.82","146"
"gitignore","3023","90","2.98","17"
"sh","1094","990","90.49","28"
"bicep","846","840","99.29","15"
"dockerignore","564","564","100","6"
"ps1}","462","6","1.3","12"
"txt","330","180","54.55","65"
"platform","306","276","90.2","48"
"yaml","247","192","77.73","37"
"other","231","126","54.55","11"
"flake8","115","115","100","5"
"github/codeowners","60","15","25","10"
"py}","6","0","0","6"
"png","6","6","100","297"
