"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","518464","518464","100","10"
"py","30162","24924","82.63","306"
"md","11588","6070","52.38","270"
"ps1","9620","9616","99.96","30"
"json","6804","2278","33.48","38"
"ipynb","4179","2716","64.99","21"
"kql","3060","3038","99.28","68"
"yml","1510","778","51.52","64"
"gitignore","1036","30","2.9","6"
"sh","366","330","90.16","10"
"bicep","282","280","99.29","6"
"dockerignore","188","188","100","2"
"ps1}","154","2","1.3","4"
"txt","120","60","50","24"
"platform","108","96","88.89","18"
"yaml","86","64","74.42","14"
"other","84","42","50","4"
"flake8","46","46","100","2"
"github/codeowners","24","6","25","4"
"py}","2","0","0","2"
"png","2","2","100","112"
