"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1036928","1036928","100","20"
"py","62147","52424","84.35","650"
"md","26187","12551","47.93","619"
"ps1","20492","20484","99.96","65"
"json","15870","4556","28.71","88"
"ipynb","10428","6790","65.11","46"
"kql","6131","6076","99.1","138"
"yml","3279","1571","47.91","128"
"gitignore","2157","60","2.78","13"
"sh","736","660","89.67","22"
"bicep","564","560","99.29","11"
"dockerignore","376","376","100","4"
"ps1}","308","4","1.3","8"
"txt","270","120","44.44","55"
"platform","234","204","87.18","42"
"other","189","84","44.44","9"
"yaml","171","128","74.85","29"
"flake8","115","115","100","5"
"github/codeowners","60","15","25","10"
"png","4","4","100","247"
"py}","4","0","0","4"
