"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","41954","37386","89.11","408"
"md","18260","9105","49.86","381"
"ps1","14430","14424","99.96","45"
"json","10266","3417","33.28","65"
"ipynb","6243","4074","65.26","23"
"kql","4590","4557","99.28","102"
"yml","2242","1167","52.05","91"
"gitignore","1554","45","2.9","9"
"sh","549","495","90.16","15"
"bicep","423","420","99.29","7"
"dockerignore","282","282","100","3"
"ps1}","231","3","1.3","6"
"txt","180","90","50","36"
"platform","172","144","83.72","31"
"other","126","63","50","6"
"yaml","126","96","76.19","20"
"flake8","69","69","100","3"
"github/codeowners","36","9","25","6"
"devcontainer/dockerfile","8","0","0","2"
"png","3","3","100","138"
"py}","3","0","0","3"
