"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","518464","259232","50","10"
"py","24659","10463","42.43","211"
"md","8467","2624","30.99","158"
"ps1","8368","3556","42.5","25"
"json","4542","1139","25.08","26"
"kql","3049","1519","49.82","66"
"ipynb","2079","0","0","7"
"yml","1156","374","32.35","41"
"gitignore","951","15","1.58","5"
"sh","362","165","45.58","8"
"bicep","282","140","49.65","5"
"dockerignore","188","94","50","2"
"ps1}","154","1","0.65","4"
"platform","90","36","40","12"
"txt","90","30","33.33","17"
"yaml","81","32","39.51","11"
"other","63","21","33.33","3"
"flake8","23","0","0","1"
"github/codeowners","12","0","0","2"
"png","2","1","50","78"
"py}","2","0","0","2"
