"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1296160","1296160","100","25"
"py","87803","75190","85.63","1100"
"md","46877","17230","36.76","1131"
"ps1","30310","30300","99.97","100"
"json","28507","5695","19.98","186"
"ipynb","20805","13580","65.27","75"
"kql","7705","7595","98.57","180"
"yml","6404","2020","31.54","317"
"gitignore","3015","75","2.49","20"
"bicep","1470","700","47.62","78"
"sh","935","825","88.24","35"
"dockerignore","470","470","100","5"
"txt","450","150","33.33","95"
"platform","385","300","77.92","85"
"ps1}","385","5","1.3","10"
"other","315","105","33.33","15"
"yaml","240","160","66.67","54"
"flake8","230","230","100","10"
"github/codeowners","120","30","25","20"
"devcontainer/dockerfile","20","0","0","5"
"py}","5","0","0","5"
"png","5","5","100","390"
