"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1036928","1036928","100","20"
"py","58967","49848","84.54","591"
"md","23136","12140","52.47","528"
"ps1","19240","19232","99.96","60"
"json","13608","4556","33.48","76"
"ipynb","8349","5432","65.06","39"
"kql","6120","6076","99.28","136"
"yml","2970","1556","52.39","116"
"gitignore","2072","60","2.9","12"
"sh","732","660","90.16","20"
"bicep","564","560","99.29","11"
"dockerignore","376","376","100","4"
"ps1}","308","4","1.3","8"
"txt","240","120","50","48"
"platform","216","192","88.89","36"
"yaml","169","128","75.74","27"
"other","168","84","50","8"
"flake8","92","92","100","4"
"github/codeowners","48","12","25","8"
"png","4","4","100","220"
"py}","4","0","0","4"
