"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1555392","1555392","100","30"
"py","104845","90228","86.06","1293"
"md","55682","20676","37.13","1345"
"ps1","36372","36360","99.97","120"
"json","34171","6834","20","217"
"ipynb","24963","16296","65.28","89"
"kql","9246","9114","98.57","216"
"yml","7508","2424","32.29","371"
"gitignore","3618","90","2.49","24"
"bicep","1611","840","52.14","82"
"sh","1122","990","88.24","42"
"dockerignore","564","564","100","6"
"txt","540","180","33.33","114"
"ps1}","462","6","1.3","12"
"platform","457","360","78.77","100"
"other","378","126","33.33","18"
"yaml","288","192","66.67","64"
"flake8","276","276","100","12"
"github/codeowners","144","36","25","24"
"devcontainer/dockerfile","20","0","0","5"
"py}","6","0","0","6"
"png","6","6","100","469"
