"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","38452","34810","90.53","344"
"md","14547","8694","59.76","283"
"ps1","13178","13172","99.95","40"
"json","7974","3417","42.85","49"
"kql","4579","4557","99.52","100"
"ipynb","4161","2716","65.27","15"
"yml","1922","1152","59.94","76"
"gitignore","1469","45","3.06","8"
"sh","545","495","90.83","13"
"bicep","423","420","99.29","7"
"dockerignore","282","282","100","3"
"ps1}","231","3","1.3","6"
"txt","150","90","60","29"
"platform","149","132","88.59","23"
"yaml","124","96","77.42","18"
"other","105","63","60","5"
"flake8","46","46","100","2"
"github/codeowners","24","6","25","4"
"devcontainer/dockerfile","4","0","0","1"
"png","3","3","100","102"
"py}","3","0","0","3"
