"Extension","TotalLines","AILines","AIPercentage","FileCount"
"py","3571","2576","72.14","65"
"md","3387","411","12.13","96"
"json","2292","0","0","16"
"ipynb","2082","1358","65.23","8"
"ps1","1252","1252","100","5"
"yml","365","15","4.11","26"
"gitignore","85","0","0","1"
"txt","30","0","0","7"
"flake8","23","23","100","1"
"platform","23","12","52.17","8"
"other","21","0","0","1"
"github/codeowners","12","3","25","2"
"kql","11","0","0","2"
"yaml","5","0","0","3"
"devcontainer/dockerfile","4","0","0","1"
"sh","4","0","0","2"
