"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","222304","71909","32.35","49"
"ps1","12936","254","1.96","264"
"svg","9429","0","0","2"
"bicep","9378","717","7.65","308"
"md","5651","87","1.54","217"
"sh","2475","159","6.42","54"
"old","656","0","0","2"
"py","483","396","81.99","16"
"yml","480","0","0","34"
"yaml","332","42","12.65","37"
"bicepparam","223","0","0","5"
"other","116","0","0","10"
"gitignore","103","1","0.97","6"
"sample","53","0","0","5"
"txt","19","12","63.16","11"
"md}","18","0","0","1"
"github/codeowners","7","0","0","3"
"env","7","0","0","2"
"gitmodules","3","0","0","1"
"bicep}","1","0","0","4"
