"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","252083","71909","28.53","75"
"ps1","46865","254","0.54","800"
"md","17158","87","0.51","401"
"bicep","11093","717","6.46","423"
"svg","9429","0","0","2"
"sh","6973","159","2.28","149"
"yaml","893","42","4.7","78"
"yml","892","0","0","54"
"bicepparam","772","0","0","16"
"py","716","396","55.31","48"
"old","656","0","0","5"
"gitignore","394","1","0.25","15"
"sample","208","0","0","16"
"other","182","0","0","19"
"txt","39","12","30.77","34"
"env","28","0","0","8"
"md}","18","0","0","1"
"gitmodules","12","0","0","4"
"github/codeowners","12","0","0","8"
"bicep}","1","0","0","7"
