"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","237036","71909","30.34","59"
"ps1","25790","254","0.98","556"
"bicep","10117","717","7.09","354"
"md","9674","87","0.9","298"
"svg","9429","0","0","2"
"sh","4123","159","3.86","92"
"old","656","0","0","3"
"yml","650","0","0","42"
"py","569","396","69.6","27"
"yaml","554","42","7.58","60"
"bicepparam","476","0","0","11"
"gitignore","200","1","0.5","9"
"other","138","0","0","13"
"sample","107","0","0","11"
"txt","26","12","46.15","19"
"md}","18","0","0","1"
"env","14","0","0","4"
"github/codeowners","9","0","0","5"
"gitmodules","6","0","0","2"
"bicep}","1","0","0","4"
