"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","237036","71909","30.34","59"
"ps1","26451","254","0.96","604"
"bicep","10178","717","7.04","356"
"md","9769","87","0.89","306"
"svg","9429","0","0","2"
"sh","4184","159","3.8","94"
"old","656","0","0","3"
"yml","650","0","0","42"
"py","569","396","69.6","27"
"yaml","569","42","7.38","64"
"bicepparam","506","0","0","12"
"gitignore","200","1","0.5","9"
"other","138","0","0","13"
"sample","108","0","0","12"
"txt","26","12","46.15","19"
"md}","18","0","0","1"
"env","14","0","0","4"
"github/codeowners","9","0","0","5"
"gitmodules","6","0","0","2"
"bicep}","1","0","0","4"
