"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","148088","71909","48.56","110"
"ps1","133960","12296","9.18","1032"
"md","46622","1263","2.71","698"
"sh","16516","159","0.96","323"
"bicep","7145","780","10.92","430"
"bicepparam","2296","90","3.92","55"
"yaml","1968","66","3.35","80"
"yml","1593","0","0","83"
"py","1254","396","31.58","130"
"gitignore","1168","1","0.09","40"
"sample","594","0","0","18"
"other","270","0","0","42"
"txt","89","12","13.48","92"
"env","84","0","0","24"
"gitmodules","39","0","0","15"
"devcontainer/dockerfile","36","0","0","9"
"github/codeowners","22","0","0","18"
"md}","15","0","0","9"
