"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","237036","71909","30.34","59"
"ps1","24468","254","1.04","460"
"bicep","9995","717","7.17","350"
"md","9484","87","0.92","282"
"svg","9429","0","0","2"
"sh","4001","159","3.97","88"
"old","656","0","0","3"
"yml","650","0","0","42"
"py","569","396","69.6","27"
"yaml","524","42","8.02","52"
"bicepparam","416","0","0","9"
"gitignore","200","1","0.5","9"
"other","138","0","0","13"
"sample","105","0","0","9"
"txt","26","12","46.15","19"
"md}","18","0","0","1"
"env","14","0","0","4"
"github/codeowners","9","0","0","5"
"gitmodules","6","0","0","2"
"bicep}","1","0","0","4"
