"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","295649","71909","24.32","93"
"ps1","57087","254","0.44","908"
"md","21090","87","0.41","465"
"bicep","11744","717","6.11","482"
"svg","9429","0","0","2"
"sh","8415","159","1.89","189"
"yml","1258","0","0","70"
"yaml","1055","42","3.98","85"
"bicepparam","905","0","0","18"
"py","852","396","46.48","61"
"old","656","0","0","6"
"gitignore","491","1","0.2","18"
"sample","258","0","0","18"
"other","204","0","0","22"
"txt","48","12","25","44"
"env","35","0","0","10"
"md}","18","0","0","1"
"github/codeowners","16","0","0","12"
"gitmodules","15","0","0","5"
"bicep}","1","0","0","10"
