"Extension","TotalLines","AILines","AIPercentage","FileCount"
"ps1","68802","0","0","492"
"json","45486","0","0","60"
"md","24873","0","0","287"
"sh","9508","0","0","182"
"bicep","2913","0","0","218"
"yaml","1074","0","0","33"
"bicepparam","811","0","0","10"
"yml","798","0","0","40"
"gitignore","679","0","0","21"
"py","502","0","0","73"
"sample","346","0","0","10"
"other","154","0","0","21"
"env","49","0","0","14"
"txt","45","0","0","52"
"devcontainer/dockerfile","24","0","0","6"
"gitmodules","21","0","0","7"
"github/codeowners","10","0","0","10"
