"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","281547","71909","25.54","95"
"ps1","65963","254","0.39","904"
"md","24419","87","0.36","486"
"bicep","11963","717","5.99","496"
"sh","9659","159","1.65","205"
"svg","9429","0","0","2"
"yml","1232","0","0","70"
"yaml","1187","42","3.54","84"
"bicepparam","978","0","0","18"
"py","888","396","44.59","70"
"old","656","0","0","7"
"gitignore","588","1","0.17","21"
"sample","306","0","0","18"
"other","226","0","0","25"
"txt","53","12","22.64","50"
"env","42","0","0","12"
"gitmodules","18","0","0","6"
"md}","18","0","0","1"
"github/codeowners","16","0","0","12"
"bicep}","1","0","0","10"
