"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","237036","71909","30.34","59"
"ps1","23807","254","1.07","412"
"bicep","9934","717","7.22","348"
"svg","9429","0","0","2"
"md","9389","87","0.93","274"
"sh","3940","159","4.04","86"
"old","656","0","0","3"
"yml","650","0","0","42"
"py","569","396","69.6","27"
"yaml","509","42","8.25","48"
"bicepparam","386","0","0","8"
"gitignore","200","1","0.5","9"
"other","138","0","0","13"
"sample","104","0","0","8"
"txt","26","12","46.15","19"
"md}","18","0","0","1"
"env","14","0","0","4"
"github/codeowners","9","0","0","5"
"gitmodules","6","0","0","2"
"bicep}","1","0","0","4"
