"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","236721","0","0","53"
"ps1","10950","0","0","122"
"svg","9429","0","0","2"
"bicep","9272","0","0","312"
"md","5428","0","0","199"
"sh","2311","0","0","53"
"old","656","0","0","2"
"yml","578","0","0","38"
"py","508","0","0","17"
"yaml","287","0","0","25"
"bicepparam","133","0","0","2"
"other","116","0","0","10"
"gitignore","103","0","0","6"
"sample","50","0","0","2"
"txt","20","0","0","12"
"md}","18","0","0","1"
"github/codeowners","8","0","0","4"
"env","7","0","0","2"
"gitmodules","3","0","0","1"
"bicep}","1","0","0","4"
