"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","11764","0","0","12"
"py","4073","0","0","33"
"html","2196","0","0","1"
"bicep","1583","0","0","14"
"yml","916","0","0","9"
"md","286","0","0","20"
"sh","178","0","0","11"
"ps1","163","0","0","4"
"yaml","132","0","0","5"
"gitignore","85","0","0","1"
"backend","34","0","0","2"
"txt","24","0","0","6"
"other","21","0","0","1"
"log","17","0","0","1"
"sample","10","0","0","4"
"env","8","0","0","2"
"github/codeowners","1","0","0","1"
