"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","259232","0","0","5"
"py","14114","5958","42.21","137"
"md","5756","677","11.76","125"
"ps1","4810","1705","35.45","15"
"json","3402","53","1.56","19"
"ipynb","2079","1358","65.32","7"
"kql","1530","0","0","34"
"yml","755","389","51.52","32"
"gitignore","518","0","0","3"
"sh","183","165","90.16","5"
"bicep","141","0","0","3"
"dockerignore","94","94","100","1"
"ps1}","77","1","1.3","2"
"txt","60","18","30","12"
"platform","54","12","22.22","9"
"yaml","43","13","30.23","7"
"other","42","0","0","2"
"flake8","23","23","100","1"
"github/codeowners","12","3","25","2"
"py}","1","0","0","1"
"png","1","0","0","53"
