"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","45203","39962","88.41","468"
"md","21311","9516","44.65","472"
"ps1","15682","15676","99.96","50"
"json","12528","3417","27.27","77"
"ipynb","8322","5432","65.27","30"
"kql","4601","4557","99.04","104"
"yml","2596","1182","45.53","114"
"gitignore","1639","45","2.75","10"
"sh","553","495","89.51","17"
"bicep","423","420","99.29","8"
"dockerignore","282","282","100","3"
"ps1}","231","3","1.3","6"
"txt","210","90","42.86","43"
"platform","190","156","82.11","37"
"other","147","63","42.86","7"
"yaml","131","96","73.28","23"
"flake8","92","92","100","4"
"github/codeowners","48","12","25","8"
"devcontainer/dockerfile","8","0","0","2"
"py}","3","0","0","3"
"png","3","3","100","165"
