"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","213","47","166","92199","28676","63523","31.1","0","7","17","15","8","17"
"Content Generation","dev","38","1","37","55205","45828","9377","83.01","0","0","0","0","1","11"
"KM Generic","dev","54","5","49","10893","1948","8945","17.88","0","4","0","0","1","8"
"BYOC","dev","47","6","41","66191","4470","61721","6.75","3","0","0","0","3","11"
"CWYD","dev","8","1","7","43180","316","42864","0.73","0","1","0","0","0","5"
"DKM","dev","28","7","21","33459","19691","13768","58.85","0","0","2","3","2","7"
"Code Modernization","dev","28","1","27","4297","24","4273","0.56","0","0","0","1","0","11"
"Content Processing","dev","18","0","18","17816",,"17816","0","0","0","0","0","0","8"
"MAAG","dev","6","0","6","521",,"521","0","0","0","0","0","0","2"
"Fabric SQL","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Deploy your AI application","main","2","0","2","182",,"182","0","0","0","0","0","0","2"
"Container Migration","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"BYOCC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
