"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","1462","168","1294","501486","104560","396926","20.85","3","36","40","43","46","45"
"Content Generation","dev","782","61","721","309412","167606","141806","54.17","1","14","11","20","15","46"
"Fabric SQL","dev","699","45","654","269398","151536","117862","56.25","1","17","5","4","18","36"
"BYOCC","dev","396","35","361","413132","103284","309848","25","0","12","11","5","7","29"
"KM Generic","dev","706","37","669","512544","16723","495821","3.26","1","18","4","4","10","45"
"Content Processing","dev","453","18","435","330100","81113","248987","24.57","5","7","3","2","1","37"
"MAAG","dev","290","17","273","211487","32986","178501","15.6","3","1","8","4","1","29"
"CWYD","dev","132","17","115","1841314","165375","1675939","8.98","4","7","1","2","3","23"
"Code Modernization","dev","441","20","421","115309","5303","110006","4.6","4","5","2","5","4","36"
"Container Migration","dev","302","10","292","300016","85485","214531","28.49","5","1","1","1","2","31"
"BYOC","dev","246","23","223","111156","5953","105203","5.36","10","7","0","0","6","32"
"Deploy your AI application","main","82","3","79","112708","78042","34666","69.24","0","2","0","0","1","21"
"DKM","dev","287","16","271","129798","23502","106296","18.11","0","2","3","5","6","31"
"RTI","main","211","15","196","294898","284519","10379","96.48","2","1","4","3","5","25"
"Data and Security","dev","102","2","100","16013","183","15830","1.14","1","1","0","0","0","12"
