"Extension","TotalLines","AILines","AIPercentage","FileCount"
"py","33914","255","0.75","367"
"yml","3031","0","0","63"
"ps1","1182","0","0","6"
"md","481","0","0","31"
"tsx","418","0","0","22"
"sh","354","0","0","5"
"json","201","0","0","5"
"yaml","162","0","0","6"
"txt","144","0","0","18"
"ini","102","0","0","9"
"coveragerc","75","0","0","6"
"csv","66","0","0","6"
"flake8","42","6","14.29","12"
"bicep","33","0","0","5"
"ts","16","0","0","2"
"github/codeowners","5","0","0","5"
"gitignore","2","0","0","2"
