"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","132411","71909","54.31","82"
"ps1","95779","12296","12.84","835"
"md","32451","1263","3.89","549"
"sh","11201","159","1.42","226"
"bicep","5618","780","13.88","314"
"bicepparam","1883","90","4.78","50"
"yaml","1380","66","4.78","68"
"yml","1207","0","0","63"
"py","985","396","40.2","89"
"gitignore","780","1","0.13","28"
"sample","398","0","0","14"
"other","182","0","0","30"
"txt","64","12","18.75","63"
"env","56","0","0","16"
"devcontainer/dockerfile","36","0","0","9"
"gitmodules","27","0","0","11"
"github/codeowners","17","0","0","13"
"md}","15","0","0","9"
