"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","147773","71909","48.66","104"
"ps1","124417","12296","9.88","984"
"md","43136","1263","2.93","663"
"sh","15192","159","1.05","300"
"bicep","6788","780","11.49","404"
"bicepparam","2193","90","4.1","54"
"yaml","1821","66","3.62","77"
"yml","1521","0","0","79"
"py","1193","396","33.19","120"
"gitignore","1071","1","0.09","37"
"sample","545","0","0","17"
"other","248","0","0","39"
"txt","83","12","14.46","85"
"env","77","0","0","22"
"devcontainer/dockerfile","36","0","0","9"
"gitmodules","36","0","0","14"
"github/codeowners","21","0","0","17"
"md}","15","0","0","9"
