"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","259232","259232","100","5"
"py","10544","9886","93.76","73"
"ps1","3558","3556","99.94","10"
"md","2703","2624","97.08","32"
"kql","1519","1519","100","32"
"json","1140","1139","99.91","7"
"gitignore","433","15","3.46","2"
"yml","401","374","93.27","9"
"sh","179","165","92.18","3"
"bicep","141","140","99.29","2"
"dockerignore","94","94","100","1"
"ps1}","77","1","1.3","2"
"yaml","38","32","84.21","4"
"platform","36","36","100","3"
"txt","30","30","100","5"
"other","21","21","100","1"
"png","1","1","100","25"
"py}","1","0","0","1"
