"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","235616","46194","19.61","133"
"lock","38593","15482","40.12","39"
"py","11715","7965","67.99","220"
"md","7940","110","1.39","249"
"bicep","7218","47","0.65","178"
"yml","6106","255","4.18","197"
"tsx","3914","3753","95.89","100"
"txt","2845","459","16.13","76"
"ts","1869","1846","98.77","44"
"sh","956","281","29.39","39"
"gitignore","937","267","28.5","9"
"scss","820","766","93.41","18"
"ps1","591","304","51.44","18"
"css","361","361","100","7"
"dockerignore","332","331","99.7","4"
"bicep_old","256","0","0","2"
"http","213","213","100","1"
"yaml","167","12","7.19","28"
"other","127","83","65.35","8"
"toml","83","72","86.75","11"
"devcontainer/dockerfile","73","46","63.01","4"
"xml","64","0","0","1"
"html","56","0","0","3"
"svg","55","55","100","2"
"env","36","13","36.11","9"
"dockerfile","28","28","100","1"
"tsx}","25","25","100","4"
"ini","22","0","0","5"
"scss}","21","21","100","2"
"conf","17","17","100","1"
"json}","17","0","0","1"
"mjs","15","15","100","1"
"bicepparam","15","0","0","9"
"js","13","13","100","2"
"dev","9","0","0","1"
"github/codeowners","9","0","0","5"
"code-workspace","7","0","0","1"
"prettierrc","7","7","100","1"
"flake8","5","0","0","1"
"python-version","2","2","100","2"
