"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","86558","0","0","129"
"json","45264","0","0","17"
"ipynb","19843","0","0","267"
"md","7627","0","0","208"
"py","4832","0","0","27"
"ps1","1327","0","0","12"
"sh","1121","0","0","24"
"yml","662","0","0","24"
"gitignore","509","0","0","5"
"bicep","308","0","0","12"
"txt","107","0","0","13"
"dockerignore","94","0","0","1"
"yaml","68","0","0","12"
"sql","46","0","0","3"
"other","42","0","0","2"
"ps1}","13","0","0","2"
"github/psl-codeowners","9","0","0","1"
"env","7","0","0","1"
"github/codeowners","4","0","0","4"
"yml}","2","0","0","1"
"png","1","0","0","121"
