"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","1399441","1216","0.09","618"
"py","399575","349385","87.44","5756"
"lock","51485","15109","29.35","195"
"tsx","44246","29395","66.44","1906"
"yml","41842","608","1.45","1653"
"md","23511","1209","5.14","1144"
"bicep","21719","1069","4.92","634"
"ps1","10057","428","4.26","173"
"sh","9220","330","3.58","204"
"ts","3740","3666","98.02","111"
"css","3693","2258","61.14","119"
"yaml","2089","358","17.14","149"
"csv","961","498","51.82","326"
"dockerignore","644","0","0","5"
"gitignore","525","5","0.95","20"
"toml","459","110","23.97","144"
"txt","382","87","22.77","140"
"other","332","49","14.76","54"
"sample","254","9","3.54","80"
"coveragerc","153","150","98.04","9"
"json}","120","0","0","12"
"flake8","108","0","0","12"
"yml}","81","0","0","3"
"ini","78","45","57.69","35"
"nocache","71","0","0","5"
"svg","48","28","58.33","6"
"env","42","0","0","6"
"example","36","16","44.44","5"
"html","20","0","0","12"
"devcontainer/dockerfile","20","0","0","5"
"github/codeowners","18","0","0","18"
"py}","10","0","0","6"
"md}","5","0","0","1"
"bicep}","4","0","0","4"
"tsx}","3","0","0","6"
"code-workspace","3","0","0","3"
