"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1296160","1296160","100","25"
"py","94301","80342","85.2","1220"
"md","52979","18052","34.07","1313"
"json","33031","5695","17.24","210"
"ps1","32814","32804","99.97","110"
"ipynb","24963","16296","65.28","89"
"kql","7727","7595","98.29","184"
"yml","7107","2050","28.84","362"
"gitignore","3185","75","2.35","22"
"bicep","1470","700","47.62","80"
"sh","943","825","87.49","39"
"txt","510","150","29.41","109"
"dockerignore","470","470","100","5"
"platform","421","324","76.96","97"
"ps1}","385","5","1.3","10"
"other","357","105","29.41","17"
"flake8","276","276","100","12"
"yaml","250","160","64","60"
"github/codeowners","144","36","25","24"
"devcontainer/dockerfile","20","0","0","5"
"png","5","5","100","444"
"py}","5","0","0","5"
