"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"CWYD","dev","1148","101","1047","600168","385444","214724","64.22","0","54","9","20","18","96"
"MACAE v4","main","2619","344","2275","873081","218456","654625","25.02","3","60","80","106","95","53"
"DKM","dev","535","13","522","217958","102391","115567","46.98","0","3","2","3","5","45"
"Content Processing","dev","588","19","569","338659","81140","257519","23.96","5","7","2","2","3","44"
"BYOC","dev","797","47","750","265554","97178","168376","36.59","11","23","2","2","9","53"
"Fabric SQL","dev","252","22","230","137283","76634","60649","55.82","0","7","3","3","9","21"
"Code Modernization","dev","689","35","654","153808","40019","113789","26.02","3","10","6","8","8","47"
"Doc Gen","dev","975","33","942","242027","98479","143548","40.69","0","5","1","8","19","53"
"Deploy your AI application","main","340","1","339","261902","73577","188325","28.09","0","0","0","0","1","20"
"Container Migration","dev","232","7","225","227509","84936","142573","37.33","3","1","0","1","2","21"
"RTI","main","150","13","137","292939","284515","8424","97.12","0","1","4","3","5","11"
"BYOCC","dev","144","22","122","240506","81967","158539","34.08","0","7","8","3","4","17"
"MAAG","dev","148","7","141","167282","3565","163717","2.13","3","0","2","1","1","18"
