"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Fabric SQL","dev","148","5","143","75385","45437","29948","60.27","0","0","0","1","4","11"
"Doc Gen","dev","93","2","91","7061","91","6970","1.29","0","0","0","0","2","11"
"CWYD","dev","9","0","9","1556381",,"1556381","0","0","0","0","0","0","4"
"MAAG","dev","1","0","1","373",,"373","0","0","0","0","0","0","1"
"BYOCC","dev","16","2","14","3582","170","3412","4.75","0","0","1","0","1","2"
"MACAE v4","main","5","0","5","93",,"93","0","0","0","0","0","0","3"
"Code Modernization","dev","9","0","9","955",,"955","0","0","0","0","0","0","3"
"Deploy your AI application","main","1","0","1","9",,"9","0","0","0","0","0","0","1"
"RTI","main","1","0","1","163",,"163","0","0","0","0","0","0","1"
"Container Migration","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"DKM","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Content Processing","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
