"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","286","48","238","24169","10435","13734","43.18","0","2","8","17","21","14"
"MAAG","dev","85","4","81","165472","3562","161910","2.15","0","0","2","1","1","6"
"BYOCC","dev","19","5","14","49873","48811","1062","97.87","0","2","2","0","1","5"
"Fabric SQL","dev","48","1","47","77851","60987","16864","78.34","0","1","0","0","0","6"
"Container Migration","dev","38","2","36","91184","83041","8143","91.07","0","1","0","0","1","7"
"CWYD","dev","18","3","15","133591","132892","699","99.48","0","2","0","0","1","9"
"DKM","dev","52","3","49","56266","1627","54639","2.89","0","1","0","0","2","10"
"KM Generic","dev","60","1","59","62839","794","62045","1.26","0","0","1","0","0","12"
"Content Generation","dev","64","0","64","4737",,"4737","0","0","0","0","0","0","8"
"BYOC","dev","52","3","49","23609","340","23269","1.44","3","0","0","0","0","10"
"Code Modernization","dev","60","0","60","2641",,"2641","0","0","0","0","0","0","11"
"Content Processing","dev","31","0","31","26537",,"26537","0","0","0","0","0","0","7"
"Deploy your AI application","main","0","0","0",,,"0","0","0","0","0","0","0","0"
