"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Fabric SQL","dev","186","6","180","76806","45450","31356","59.18","0","1","0","1","4","14"
"Content Generation","dev","130","12","118","27510","17264","10246","62.76","0","5","1","4","2","17"
"MACAE v4","main","45","2","43","5452","313","5139","5.74","0","0","1","1","0","11"
"BYOCC","dev","49","6","43","11063","1166","9897","10.54","0","2","2","0","2","8"
"CWYD","dev","23","3","20","1561678","4541","1557137","0.29","2","0","0","0","1","9"
"MAAG","dev","22","0","22","1314",,"1314","0","0","0","0","0","0","6"
"RTI","main","23","0","23","1591",,"1591","0","0","0","0","0","0","5"
"KM Generic","dev","27","1","26","30958","634","30324","2.05","0","1","0","0","0","12"
"Content Processing","dev","11","1","10","1059","892","167","84.23","0","1","0","0","0","5"
"Code Modernization","dev","23","0","23","1352",,"1352","0","0","0","0","0","0","8"
"Container Migration","dev","11","0","11","62815",,"62815","0","0","0","0","0","0","5"
"Data and Security","dev","21","0","21","600",,"600","0","0","0","0","0","0","3"
"DKM","dev","6","0","6","2631",,"2631","0","0","0","0","0","0","4"
"Deploy your AI application","main","2","0","2","24",,"24","0","0","0","0","0","0","2"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
