"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Fabric SQL","dev","148","5","143","75385","45437","29948","60.27","0","0","0","1","4","11"
"Doc Gen","dev","88","2","86","4118","91","4027","2.21","0","0","0","0","2","9"
"CWYD","dev","10","0","10","1556462",,"1556462","0","0","0","0","0","0","5"
"MAAG","dev","1","0","1","373",,"373","0","0","0","0","0","0","1"
"BYOCC","dev","13","2","11","308","170","138","55.19","0","0","1","0","1","2"
"MACAE v4","main","5","0","5","93",,"93","0","0","0","0","0","0","3"
"RTI","main","1","0","1","163",,"163","0","0","0","0","0","0","1"
"Code Modernization","dev","9","0","9","955",,"955","0","0","0","0","0","0","3"
"Deploy your AI application","main","1","0","1","9",,"9","0","0","0","0","0","0","1"
"Container Migration","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"DKM","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Content Processing","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
