"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","118","14","104","55906","3870","52036","6.92","3","0","1","6","4","18"
"BYOCC","dev","47","1","46","7562","5437","2125","71.9","0","0","0","0","1","8"
"RTI","main","16","6","10","280148","278865","1283","99.54","0","1","1","1","3","4"
"Fabric SQL","dev","63","4","59","32782","3416","29366","10.42","0","1","0","1","2","8"
"Doc Gen","dev","57","0","57","15449",,"15449","0","0","0","0","0","0","16"
"Content Processing","dev","75","7","68","27576","210","27366","0.76","5","1","1","0","0","15"
"BYOC","dev","53","3","50","3494","179","3315","5.12","0","2","0","0","1","13"
"Code Modernization","dev","48","3","45","17257","3","17254","0.02","3","0","0","0","0","12"
"CWYD","dev","20","0","20","19750",,"19750","0","0","0","0","0","0","10"
"Container Migration","dev","39","4","35","64391","307","64084","0.48","3","0","0","1","0","12"
"Deploy your AI application","main","13","0","13","14706",,"14706","0","0","0","0","0","0","5"
"MAAG","dev","28","3","25","746","3","743","0.4","3","0","0","0","0","7"
"DKM","dev","11","0","11","123",,"123","0","0","0","0","0","0","5"
