"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Fabric SQL","dev","155","5","150","75457","45437","30020","60.22","0","0","0","1","4","12"
"Doc Gen","dev","121","10","111","20119","12910","7209","64.17","0","4","1","3","2","16"
"BYOCC","dev","45","6","39","10926","1166","9760","10.67","0","2","2","0","2","7"
"CWYD","dev","22","2","20","1557283","146","1557137","0.01","1","0","0","0","1","9"
"MAAG","dev","1","0","1","373",,"373","0","0","0","0","0","0","1"
"MACAE v4","main","15","0","15","4256",,"4256","0","0","0","0","0","0","7"
"Content Processing","dev","5","1","4","937","892","45","95.2","0","1","0","0","0","2"
"KM Generic","dev","20","0","20","30145",,"30145","0","0","0","0","0","0","8"
"Code Modernization","dev","14","0","14","1068",,"1068","0","0","0","0","0","0","4"
"Container Migration","dev","5","0","5","62410",,"62410","0","0","0","0","0","0","2"
"DKM","dev","2","0","2","2456",,"2456","0","0","0","0","0","0","1"
"Deploy your AI application","main","2","0","2","24",,"24","0","0","0","0","0","0","2"
"RTI","main","2","0","2","172",,"172","0","0","0","0","0","0","2"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
