"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","185","2","183","106131","348","105783","0.33","0","0","1","0","1","20"
"Deploy your AI application","main","19","0","19","16517",,"16517","0","0","0","0","0","0","7"
"BYOCC","dev","55","8","47","18671","16717","1954","89.53","0","5","1","1","1","9"
"RTI","main","134","7","127","12791","5650","7141","44.17","0","0","3","2","2","8"
"Fabric SQL","dev","59","6","53","6378","2227","4151","34.92","0","3","1","0","2","9"
"Code Modernization","dev","62","1","61","5834","165","5669","2.83","0","0","0","1","0","11"
"CWYD","dev","22","5","17","21951","17072","4879","77.77","0","3","0","2","0","12"
"Doc Gen","dev","51","0","51","28575",,"28575","0","0","0","0","0","0","12"
"Content Processing","dev","68","0","68","18902",,"18902","0","0","0","0","0","0","12"
"DKM","dev","36","0","36","4696",,"4696","0","0","0","0","0","0","8"
"Container Migration","dev","47","0","47","775",,"775","0","0","0","0","0","0","8"
"BYOC","dev","11","2","9","1152","2","1150","0.17","2","0","0","0","0","4"
"MAAG","dev","3","0","3","2",,"2","0","0","0","0","0","0","2"
