"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Content Generation","dev","47","4","43","6423","3842","2581","59.82","1","2","1","0","0","13"
"Content Processing","dev","56","1","55","8136","627","7509","7.71","0","0","1","0","0","13"
"Fabric SQL","dev","77","4","73","3397","608","2789","17.9","1","2","1","0","0","12"
"KM Generic","dev","49","6","43","6274","3490","2784","55.63","0","1","2","2","1","11"
"BYOCC","dev","38","3","35","15634","15125","509","96.74","0","1","1","1","0","10"
"Code Modernization","dev","45","3","42","1175","716","459","60.94","0","1","1","0","1","13"
"MACAE v4","main","28","1","27","12091","531","11560","4.39","0","0","1","0","0","12"
"CWYD","dev","12","2","10","3329","1648","1681","49.5","1","0","1","0","0","8"
"DKM","dev","27","3","24","4552","1379","3173","30.29","0","1","1","0","1","9"
"Data and Security","dev","23","1","22","260","14","246","5.38","1","0","0","0","0","6"
"MAAG","dev","19","0","19","349",,"349","0","0","0","0","0","0","7"
"Container Migration","dev","22","3","19","1018","549","469","53.93","2","0","1","0","0","9"
"RTI","main","13","2","11","161","4","157","2.48","2","0","0","0","0","9"
"Deploy your AI application","main","1","0","1","24",,"24","0","0","0","0","0","0","1"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
