"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"CWYD","dev","18","5","13","10067","5081","4986","50.47","3","1","0","0","1","11"
"Fabric SQL","dev","38","5","33","1415","456","959","32.23","1","1","2","0","1","8"
"Container Migration","dev","40","7","33","5196","3955","1241","76.12","5","2","0","0","0","5"
"Content Generation","dev","31","2","29","892","238","654","26.68","0","0","2","0","0","6"
"KM Generic","dev","30","5","25","2410","214","2196","8.88","5","0","0","0","0","7"
"Content Processing","dev","24","1","23","826","364","462","44.07","1","0","0","0","0","5"
"Data and Security","dev","9","1","8","95","19","76","20","1","0","0","0","0","2"
"BYOCC","dev","26","1","25","10378","3","10375","0.03","1","0","0","0","0","5"
"Code Modernization","dev","18","1","17","967","32","935","3.31","1","0","0","0","0","4"
"MACAE v4","main","22","1","21","740","223","517","30.14","0","1","0","0","0","5"
"DKM","dev","9","0","9","398",,"398","0","0","0","0","0","0","3"
"RTI","main","5","0","5","11",,"11","0","0","0","0","0","0","3"
"Deploy your AI application","main","4","0","4","8",,"8","0","0","0","0","0","0","2"
"MAAG","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
