"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","645","5","640","81368","1238","80130","1.52","3","0","1","1","0","27"
"RTI","main","156","1","155","15590","212","15378","1.36","0","0","1","0","0","12"
"Deploy your AI application","main","92","0","92","151625",,"151625","0","0","0","0","0","0","7"
"BYOCC","main","85","1","84","13663","87","13576","0.64","0","0","1","0","0","14"
"Code Modernization","main","191","3","188","14059","3","14056","0.02","3","0","0","0","0","14"
"Fabric SQL","main","116","0","116","5923",,"5923","0","0","0","0","0","0","14"
"Doc Gen","main","266","0","266","31690",,"31690","0","0","0","0","0","0","14"
"Content Processing","main","168","5","163","56896","5","56891","0.01","5","0","0","0","0","14"
"Container Migration","main","102","3","99","5225","3","5222","0.06","3","0","0","0","0","14"
"DKM","main","90","0","90","14251",,"14251","0","0","0","0","0","0","12"
"CWYD","main","176","16","160","169202","143801","25401","84.99","15","0","1","0","0","3"
"MAAG","main","47","3","44","2997","3","2994","0.1","3","0","0","0","0","5"
"BYOC","main","213","10","203","27879","4115","23764","14.76","10","0","0","0","0","5"
