"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Fabric SQL","dev","25","0","25","303",,"303","0","0","0","0","0","0","2"
"Doc Gen","dev","70","1","69","3785","20","3765","0.53","0","0","0","0","1","8"
"MAAG","dev","1","0","1","373",,"373","0","0","0","0","0","0","1"
"BYOCC","dev","11","2","9","303","170","133","56.11","0","0","1","0","1","2"
"MACAE v4","main","3","0","3","14",,"14","0","0","0","0","0","0","1"
"CWYD","dev","6","0","6","310",,"310","0","0","0","0","0","0","3"
"RTI","main","0","0","0",,,"0","0","0","0","0","0","0","0"
"DKM","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Code Modernization","dev","2","0","2","13",,"13","0","0","0","0","0","0","2"
"Deploy your AI application","main","1","0","1","9",,"9","0","0","0","0","0","0","1"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Container Migration","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Content Processing","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
