"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","44541","0","0","42"
"ps1","39512","0","0","300"
"md","14320","0","0","174"
"sh","5475","0","0","111"
"bicep","1781","0","0","138"
"yaml","618","0","0","20"
"yml","582","0","0","28"
"bicepparam","472","0","0","6"
"gitignore","388","0","0","12"
"py","319","0","0","43"
"sample","198","0","0","6"
"other","88","0","0","12"
"env","28","0","0","8"
"txt","27","0","0","31"
"devcontainer/dockerfile","24","0","0","6"
"gitmodules","12","0","0","4"
"github/codeowners","7","0","0","7"
