"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","259232","259232","100","5"
"py","14115","12462","88.29","138"
"md","5764","3035","52.65","126"
"ps1","4810","4808","99.96","15"
"json","3402","1139","33.48","19"
"ipynb","2082","1358","65.23","8"
"kql","1530","1519","99.28","34"
"yml","755","389","51.52","32"
"gitignore","518","15","2.9","3"
"sh","183","165","90.16","5"
"bicep","141","140","99.29","3"
"dockerignore","94","94","100","1"
"ps1}","77","1","1.3","2"
"txt","60","30","50","12"
"platform","54","48","88.89","9"
"yaml","43","32","74.42","7"
"other","42","21","50","2"
"flake8","23","23","100","1"
"github/codeowners","12","3","25","2"
"py}","1","0","0","1"
"png","1","1","100","53"
