"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","118","14","104","55906","3870","52036","6.92","3","0","1","6","4","18"
"RTI","main","16","6","10","280148","278865","1283","99.54","0","1","1","1","3","4"
"BYOCC","dev","47","0","47","7562",,"7562","0","0","0","0","0","0","8"
"Fabric SQL","dev","63","4","59","32782","3416","29366","10.42","0","1","0","1","2","8"
"Doc Gen","dev","57","0","57","15449",,"15449","0","0","0","0","0","0","16"
"Code Modernization","dev","45","3","42","15975","3","15972","0.02","3","0","0","0","0","11"
"BYOC","dev","53","1","52","3494","146","3348","4.18","0","0","0","0","1","13"
"Content Processing","dev","75","7","68","27576","210","27366","0.76","5","1","1","0","0","15"
"CWYD","dev","18","0","18","19668",,"19668","0","0","0","0","0","0","9"
"Container Migration","dev","39","4","35","64391","307","64084","0.48","3","0","0","1","0","12"
"Deploy your AI application","main","13","0","13","14706",,"14706","0","0","0","0","0","0","5"
"MAAG","dev","28","3","25","746","3","743","0.4","3","0","0","0","0","7"
"DKM","dev","11","0","11","123",,"123","0","0","0","0","0","0","5"
