"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","259232","0","0","5"
"py","10544","3382","32.08","73"
"ps1","3558","453","12.73","10"
"md","2703","266","9.84","32"
"kql","1519","0","0","32"
"json","1140","53","4.65","7"
"gitignore","433","0","0","2"
"yml","401","374","93.27","9"
"sh","179","165","92.18","3"
"bicep","141","0","0","2"
"dockerignore","94","94","100","1"
"ps1}","77","1","1.3","2"
"yaml","38","13","34.21","4"
"platform","36","0","0","3"
"txt","30","18","60","5"
"other","21","0","0","1"
"py}","1","0","0","1"
"png","1","0","0","25"
