"Extension","TotalLines","AILines","AIPercentage","FileCount"
"other","100358","0","0","22"
"json","46673","0","0","593"
"pdf","39253","0","0","52"
"py","30541","1739","5.69","1401"
"lock","11678","688","5.89","117"
"bicep","7214","0","0","186"
"md","4213","2","0.05","267"
"tsx","3464","0","0","68"
"yml","1985","0","0","156"
"ts","1557","0","0","60"
"css","1212","1","0.08","48"
"gitignore","628","0","0","20"
"ipynb","533","0","0","1"
"sh","509","0","0","27"
"txt","399","0","0","83"
"yaml","315","0","0","23"
"py}","313","0","0","86"
"js","218","109","50","3"
"toml","187","3","1.6","107"
"sample","136","1","0.74","35"
"svg","118","0","0","21"
"dockerfile","117","0","0","32"
"bicepparam","104","0","0","20"
"dockerignore","96","0","0","22"
"jinja2","78","0","0","3"
"config","60","0","0","1"
"md}","52","0","0","3"
"html","31","2","6.45","6"
"webappignore","27","0","0","2"
"test","24","0","0","5"
"dev","24","0","0","5"
"ps1","18","0","0","6"
"funcignore","16","0","0","5"
"yml}","14","0","0","2"
"testtool","13","0","0","5"
"devcontainer/dockerfile","9","0","0","3"
"coveragerc","8","0","0","3"
"ini","8","0","0","4"
"github/codeowners","4","0","0","4"
"dat","3","0","0","3"
"flake8","3","0","0","2"
"gitattributes","3","0","0","1"
"map","2","1","50","3"
"txt}","1","0","0","1"
