"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","222304","71909","32.35","49"
"ps1","12275","254","2.07","216"
"svg","9429","0","0","2"
"bicep","9317","717","7.7","306"
"md","5556","87","1.57","209"
"sh","2414","159","6.59","52"
"old","656","0","0","2"
"py","483","396","81.99","16"
"yml","480","0","0","34"
"yaml","317","42","13.25","33"
"bicepparam","193","0","0","4"
"other","116","0","0","10"
"gitignore","103","1","0.97","6"
"sample","52","0","0","4"
"txt","19","12","63.16","11"
"md}","18","0","0","1"
"env","7","0","0","2"
"github/codeowners","7","0","0","3"
"gitmodules","3","0","0","1"
"bicep}","1","0","0","4"
