"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","1398471","1038","0.07","579"
"py","395402","346868","87.73","5466"
"lock","50909","15109","29.68","193"
"yml","41100","608","1.48","1632"
"tsx","31944","22641","70.88","1593"
"md","22759","1209","5.31","1100"
"bicep","19379","1069","5.52","580"
"ps1","9713","235","2.42","168"
"sh","8878","165","1.86","196"
"ts","3724","3653","98.09","109"
"css","2688","1671","62.17","109"
"yaml","1997","335","16.78","139"
"csv","878","498","56.72","278"
"gitignore","522","4","0.77","17"
"toml","458","110","24.02","143"
"txt","373","84","22.52","136"
"dockerignore","322","0","0","3"
"other","314","49","15.61","47"
"sample","239","8","3.35","76"
"coveragerc","153","150","98.04","9"
"json}","120","0","0","12"
"flake8","108","0","0","12"
"yml}","81","0","0","3"
"ini","78","45","57.69","35"
"env","42","0","0","6"
"svg","38","28","73.68","5"
"nocache","37","0","0","4"
"example","26","16","61.54","4"
"devcontainer/dockerfile","20","0","0","5"
"github/codeowners","18","0","0","18"
"py}","10","0","0","6"
"html","10","0","0","7"
"md}","5","0","0","1"
"bicep}","4","0","0","3"
"code-workspace","3","0","0","3"
"tsx}","3","0","0","6"
