"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","222304","71909","32.35","49"
"ps1","11614","254","2.19","168"
"svg","9429","0","0","2"
"bicep","9256","717","7.75","304"
"md","5461","87","1.59","201"
"sh","2353","159","6.76","50"
"old","656","0","0","2"
"py","483","396","81.99","16"
"yml","480","0","0","34"
"yaml","302","42","13.91","29"
"bicepparam","163","0","0","3"
"other","116","0","0","10"
"gitignore","103","1","0.97","6"
"sample","51","0","0","3"
"txt","19","12","63.16","11"
"md}","18","0","0","1"
"github/codeowners","7","0","0","3"
"env","7","0","0","2"
"gitmodules","3","0","0","1"
"bicep}","1","0","0","4"
