"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","259232","259232","100","5"
"py","18974","15038","79.26","223"
"md","8865","3446","38.87","232"
"ps1","6062","6060","99.97","20"
"json","5664","1139","20.11","31"
"ipynb","4173","2716","65.09","19"
"kql","1541","1519","98.57","36"
"yml","1109","404","36.43","55"
"gitignore","603","15","2.49","4"
"sh","187","165","88.24","7"
"bicep","141","140","99.29","4"
"dockerignore","94","94","100","1"
"txt","90","30","33.33","19"
"ps1}","77","1","1.3","2"
"platform","72","60","83.33","15"
"other","63","21","33.33","3"
"yaml","48","32","66.67","10"
"flake8","46","46","100","2"
"github/codeowners","24","6","25","4"
"png","1","1","100","85"
"py}","1","0","0","1"
