"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","35203","32234","91.57","284"
"ps1","11926","11920","99.95","35"
"md","11496","8283","72.05","192"
"json","5712","3417","59.82","37"
"kql","4568","4557","99.76","98"
"ipynb","2082","1358","65.23","8"
"yml","1568","1137","72.51","53"
"gitignore","1384","45","3.25","7"
"sh","541","495","91.5","11"
"bicep","423","420","99.29","6"
"dockerignore","282","282","100","3"
"ps1}","231","3","1.3","6"
"platform","131","120","91.6","17"
"txt","120","90","75","22"
"yaml","119","96","80.67","15"
"other","84","63","75","4"
"flake8","23","23","100","1"
"github/codeowners","12","3","25","2"
"devcontainer/dockerfile","4","0","0","1"
"py}","3","0","0","3"
"png","3","3","100","75"
