"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","222304","71909","32.35","49"
"ps1","10292","254","2.47","72"
"svg","9429","0","0","2"
"bicep","9134","717","7.85","300"
"md","5271","87","1.65","185"
"sh","2231","159","7.13","46"
"old","656","0","0","2"
"py","483","396","81.99","16"
"yml","480","0","0","34"
"yaml","272","42","15.44","21"
"other","116","0","0","10"
"gitignore","103","1","0.97","6"
"bicepparam","103","0","0","1"
"sample","49","0","0","1"
"txt","19","12","63.16","11"
"md}","18","0","0","1"
"env","7","0","0","2"
"github/codeowners","7","0","0","3"
"gitmodules","3","0","0","1"
"bicep}","1","0","0","4"
