"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","17637","0","0","17"
"yml","2880","0","0","46"
"py","1087","0","0","24"
"md","920","0","0","42"
"lock","879","0","0","2"
"bicep","589","0","0","19"
"txt","117","0","0","4"
"gitignore","85","0","0","1"
"ps1","82","0","0","2"
"sh","51","0","0","2"
"other","21","0","0","1"
"env","8","0","0","2"
"ini","2","0","0","1"
"toml","2","0","0","2"
"github/codeowners","1","0","0","1"
