"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Content Generation","dev","76","7","69","13514","6369","7145","47.13","2","3","1","0","1","16"
"Content Processing","dev","107","9","98","33876","9658","24218","28.51","2","3","1","0","3","20"
"Fabric SQL","dev","139","10","129","9308","2128","7180","22.86","3","4","1","2","0","18"
"BYOCC","dev","69","4","65","26128","15853","10275","60.67","0","1","1","2","0","15"
"KM Generic","dev","80","9","71","10324","4730","5594","45.82","1","3","2","2","1","16"
"Container Migration","dev","65","9","56","12036","10236","1800","85.04","4","3","1","0","1","16"
"Code Modernization","dev","66","3","63","5808","716","5092","12.33","0","1","1","0","1","16"
"MACAE v4","main","59","2","57","25810","685","25125","2.65","1","0","1","0","0","19"
"CWYD","dev","20","5","15","14133","3798","10335","26.87","4","0","1","0","0","11"
"DKM","dev","55","4","51","23149","1383","21766","5.97","1","1","1","0","1","12"
"Deploy your AI application","main","46","1","45","7406","1","7405","0.01","1","0","0","0","0","6"
"Data and Security","dev","34","2","32","458","168","290","36.68","2","0","0","0","0","10"
"MAAG","dev","29","0","29","385",,"385","0","0","0","0","0","0","12"
"RTI","main","19","3","16","233","6","227","2.58","3","0","0","0","0","12"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
