"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","281232","71909","25.57","89"
"ps1","56420","254","0.45","856"
"md","20933","87","0.42","451"
"bicep","11606","717","6.18","470"
"svg","9429","0","0","2"
"sh","8335","159","1.91","182"
"yml","1160","0","0","66"
"yaml","1040","42","4.04","81"
"bicepparam","875","0","0","17"
"py","827","396","47.88","60"
"old","656","0","0","6"
"gitignore","491","1","0.2","18"
"sample","257","0","0","17"
"other","204","0","0","22"
"txt","47","12","25.53","43"
"env","35","0","0","10"
"md}","18","0","0","1"
"gitmodules","15","0","0","5"
"github/codeowners","15","0","0","11"
"bicep}","1","0","0","10"
