"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","481130","71","0.01","142"
"py","125505","110860","88.33","1305"
"lock","14772","6618","44.8","39"
"yml","12852","40","0.31","453"
"md","7893","24","0.3","373"
"ps1","3731","21","0.56","64"
"sh","3158","0","0","62"
"tsx","2700","2046","75.78","263"
"bicep","1335","201","15.06","116"
"yaml","808","156","19.31","46"
"csv","273","249","91.21","51"
"gitignore","255","0","0","3"
"sample","90","0","0","26"
"other","63","0","0","3"
"txt","54","0","0","26"
"json}","50","0","0","5"
"coveragerc","50","50","100","2"
"flake8","45","0","0","5"
"css","42","0","0","6"
"toml","42","33","78.57","15"
"env","21","0","0","3"
"ini","20","10","50","9"
"github/codeowners","8","0","0","8"
"devcontainer/dockerfile","8","0","0","2"
