"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","222304","71909","32.35","49"
"ps1","13597","254","1.87","312"
"bicep","9439","717","7.6","310"
"svg","9429","0","0","2"
"md","5746","87","1.51","225"
"sh","2536","159","6.27","56"
"old","656","0","0","2"
"py","483","396","81.99","16"
"yml","480","0","0","34"
"yaml","347","42","12.1","41"
"bicepparam","253","0","0","6"
"other","116","0","0","10"
"gitignore","103","1","0.97","6"
"sample","54","0","0","6"
"txt","19","12","63.16","11"
"md}","18","0","0","1"
"github/codeowners","7","0","0","3"
"env","7","0","0","2"
"gitmodules","3","0","0","1"
"bicep}","1","0","0","4"
